ISBN,TITLE,,AUTHOR,AUTHORID,PUBLISHER,PUBLICATION DATE,PAGES,GENRE,LISTPRICE,SALEPRICE,WHOLESALEPRICE,IMAGENAME,IMAGE,FORMAT,DESCRIPTION
978-0545935203,Dog Man Unleashed,,Dav Pilkey,20,Graphix,12/27/2016,224,Children,9.99,8.48,6.78,Dog Man Unle,"https://images-na.ssl-images-amazon.com/images/I/51wotZ0l2pL._SX336_BO1,204,203,200_.jpg",.png,"Dog Man, the newest hero from the creator of Captain Underpants, is still learning a few tricks of the trade. Petey the cat is out of the bag, and his criminal curiosity is taking the city by storm. Something fishy is going on! Can Dog Man unleash justice on this ruffian in time to save the city, or will Petey get away with the purr-fect crime?"
978-1101883082,Lilac Girls: A Novel,,Martha Hall Kelly,21,Ballantine Books,2/28/2017,512,Fiction,17,12.75,10.2,Lilac Girls:,"https://images-na.ssl-images-amazon.com/images/I/51%2BeJFxRr4L._SX322_BO1,204,203,200_.jpg",.png,"The lives of these three women are set on a collision course when the unthinkable happens and Kasia is sent to Ravensbrück, the notorious Nazi concentration camp for women. Their stories cross continents—from New York to Paris, Germany, and Poland—as Caroline and Kasia strive to bring justice to those whom history has forgotten."
978-1449486792,The Sun and Her Flowers,,Rupi Kaur,1,Andrews McMeel Publishing,October 3 2017,256,Fiction,16.99,9.9,7.92,The Sun and ,"https://images-na.ssl-images-amazon.com/images/I/416ZrnNLj6L._SX321_BO1,204,203,200_.jpg",.png,"From Rupi Kaur, the #1 New York Times bestselling author of milk and honey, comes her long-awaited second collection of poetry.  A vibrant and transcendent journey about growth and healing. Ancestry and honoring one’s roots. Expatriation and rising up to find a home within yourself."
978-1416947370,Dear Zoo: A Lift-the-Flap Book,,Rod Campbell,22,Little Simon,5/8/2007,18,Children,6.99,4.71,3.77,Dear Zoo: A ,"https://images-na.ssl-images-amazon.com/images/I/51SQFs%2BTGjL._SX484_BO1,204,203,200_.jpg",.png,This classic children's storybook about a youngster loooking for a perfect pet is sure to delight a new generation of readers!
978-1878424310,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),,Don Miguel Ruiz,23,Amber-Allen Publishing,11/7/1997,160,Religion & Spirituality,12.95,7.79,6.23,The Four Agr,"https://images-na.ssl-images-amazon.com/images/I/61LJ8HqiOhL._SX343_BO1,204,203,200_.jpg",.png,"In The Four Agreements, bestselling author don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering."
978-0671449025,The Going-To-Bed Book,,Sandra Boynton,24,Little Simon,11/30/1982,14,Children,5.99,4.19,3.35,The Going-To,"https://images-na.ssl-images-amazon.com/images/I/51NFBXDLZNL._SX258_BO1,204,203,200_.jpg",.png,"This classic bedtime story is just right for winding down the day as a joyful, silly group of animals scrub scrub scrub in the tub, brush and brush and brush their teeth, and finally rock and rock and rock to sleep."
978-1595620156,StrengthsFinder 2.0,,Tom Rath,25,Gallup Press,2/1/2007,175,Business,31.99,17.79,14.23,StrengthsFin,"https://images-na.ssl-images-amazon.com/images/I/51SdxC2moVL._SX360_BO1,204,203,200_.jpg",.png,"Loaded with hundreds of strategies for applying your strengths, this new book and accompanying website will change the way you look at yourself--and the world around you--forever. "
978-0385376716,The Wonderful Things You Will Be,,Emily Winfield Martin,26, Random House Books for Young Readers,8/25/2015,36,Children,17.99,12.36,9.89,The Wonderfu,"https://images-na.ssl-images-amazon.com/images/I/511pAnqlhML._SX474_BO1,204,203,200_.jpg",.png,"From brave and bold to creative and clever, Emily Winfield Martin's rhythmic rhyme expresses all the loving things that parents think of when they look at their children. With beautiful, and sometimes humorous, illustrations, and a clever gatefold with kids in costumes, this is a book grown-ups will love reading over and over to kids—both young and old. A great gift for any occasion, but a special stand-out for baby showers, birthdays, and graduation. The Wonderful Things You Will Be has a loving and truthful message that will endure for lifetimes."
978-0964729230,The Shack,,William P. Young,27,Windblown Media,7/1/2007,256,Religion & Spirituality,15,8.81,7.05,The Shack,"https://images-na.ssl-images-amazon.com/images/I/51plnK1YpdL._SX323_BO1,204,203,200_.jpg",.png,"Mackenzie Allen Philips' youngest daughter, Missy, has been abducted during a family vacation and evidence that she may have been brutally murdered is found in an abandoned shack deep in the Oregon wilderness. Four years later in the midst of his Great Sadness, Mack receives a suspicious note, apparently from God, inviting him back to that shack for a weekend. Against his better judgment he arrives at the shack on a wintry afternoon and walks back into his darkest nightmare. What he finds there will change Mack's world forever. "
978-1607747307,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,Marie Kondo,28,Ten Speed Press,10/14/2014,224,Politics & Social Science,16.99,9.89,7.91,The Life-Cha,"https://images-na.ssl-images-amazon.com/images/I/512oubYY-pL._SX354_BO1,204,203,200_.jpg",.png,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing Japanese organizational consultant Marie Kondo takes tidying to a whole new level, promising that if you properly declutter your home once, you'll never have to do it again. Whereas most methods advocate a room-by-room or little-by-little approach, the KonMari Method's category-by-category, all-at-once prescription leads to lasting results. In fact, none of Kondo's clients have been repeat customers (and she still has a three-month waiting list of new customers!). With detailed guidance for every type of item in the household, this quirky little manual from Japan's newest lifestyle phenomenon will help readers clear their clutter and enjoy the unique magic of a tidy home--and the calm, motivated mindset it can inspire."
978-1524732684,"Option B: Facing Adversity, Building Resilience, and Finding Joy",,Sheryl Sandberg,29,Knopf,4/24/2017,240,Self-Help,25.95,18.16,14.53,Option B: Fa,"https://images-na.ssl-images-amazon.com/images/I/417t%2BlcP9RL._SX292_BO1,204,203,200_.jpg",.png,Resilience comes from deep within us and from support outside us. Even after the most devastating events it is possible to grow by finding deeper meaning and gaining greater appreciation in our lives. Option B illuminates how to help others in crisis. 
978-1623363581,Thug Kitchen,,Thug Kitchen,31,Rodale books,10/7/2014,240,Cookbook,25.99,15.59,12.47,Thug Kitchen,"https://images-na.ssl-images-amazon.com/images/I/51v1Q88aB0L._SX258_BO1,204,203,200_.jpg",.png,This book is an invitation toeveryone who wants to do better to elevate their kitchen game. No moreketchup and pizza counting as vegetables. No more drive-thru lines. Nomore avoiding the produce corner of the supermarket. Sh*t is about toget real.
978-0316512589,Obama: An Intimate Portrait,,Pete Souza,32,"Little, Brown and Company",11/7/2017,352,Biography,50,31.45,25.16,Obama: An In,https://images-na.ssl-images-amazon.com/images/I/51zbaGLMMfL.jpg,.png,Relive the extraordinary Presidency of Barack Obama through White House photographer Pete Souza's behind-the-scenes images and stories in this #1 New York Timesbestseller--with a foreword from the President himself.
978-1433805615,"Publication Manual of the American Psychological Association, 6th Edition",,American Psychological Association ,33,American Psychological Association ,7/15/2009,272,Reference,29.95,23.96,19.17,Publication ,"https://images-na.ssl-images-amazon.com/images/I/41HoczBHr2L._SX347_BO1,204,203,200_.jpg",.png,"The ""Publication Manual"" is the style manual of choice for writers, editors, students, and educators. Although it is specifically designed to help writers in the behavioral sciences and social sciences, anyone who writes non-fiction prose can benefit from its guidance. The newly-revised Sixth Edition has not only been rewritten. It has also been thoroughly rethought and reorganized, making it the most user-friendly ""Publication Manual"" the APA has ever produced. You will be able to find answers to your questions faster than ever before. When you need advice on how to present information, including text, data, and graphics, for publication in any type of format--such as college and university papers, professional journals, presentations for colleagues, and online publication--you will find the advice you're looking for in the ""Publication Manual."""
978-0670026197,A Gentleman in Moscow: A Novel,,Amor Towles,34,Viking,9/6/2016,480,Fiction,27,18.9,15.12,A Gentleman ,"https://images-na.ssl-images-amazon.com/images/I/51YCzUi5OJL._SX329_BO1,204,203,200_.jpg",.png,"Brimming with humor, a glittering cast of characters, and one beautifully rendered scene after another, this singular novel casts a spell as it relates the count’s endeavor to gain a deeper understanding of what it means to be a man of purpose."
978-0694003617,Goodnight Moon,,"Margaret Wise Brown, Clement Hurd",35,HarperFestival,1/23/2007,30,Children,8.99,6.19,4.95,Goodnight Mo,"https://images-na.ssl-images-amazon.com/images/I/51%2BmV1XUUQL._SY432_BO1,204,203,200_.jpg",.png,"In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room—to the picture of the three little bears sitting on chairs, to the clocks and his socks, to the mittens and the kittens, to everything one by one—the little bunny says goodnight."
